order_id,account_age_days,past_orders,return_rate_hist,refund_to_keep_count,bracketing_score,claim_text_susp,image_ai_artifact_score,weight_mismatch_kg,shared_identifier_flag,carrier_scan_gap,days_to_claim,order_value,category,is_abuse
ORD100000,934,12,0.242,0,0.167,0.153,0.154,0.05,0,0,3.53,683.94,apparel,0
ORD100001,533,9,0.241,1,0.108,0.423,0.247,0.067,0,0,11.15,641.9,apparel,0
ORD100002,328,7,0.151,0,0.368,0.383,0.153,0.078,0,0,5.87,626.4,beauty,0
ORD100003,75,10,0.204,0,0.593,0.152,0.058,0.069,0,0,2.55,1659.33,apparel,0
ORD100004,245,5,0.194,1,0.307,0.459,0.375,0.094,0,1,6.28,1537.74,home,0
ORD100005,474,9,0.546,0,0.097,0.217,0.465,0.071,0,0,9.55,463.54,apparel,0
ORD100006,101,7,0.452,0,0.738,0.064,0.315,0.173,0,0,5.56,3291.47,footwear,0
ORD100007,1067,5,0.129,0,0.456,0.089,0.11,0.061,0,0,3.01,1239.14,apparel,1
ORD100008,297,5,0.272,2,0.305,0.599,0.283,0.03,0,0,5.64,1275.3,footwear,0
ORD100009,466,13,0.233,0,0.137,0.545,0.289,0.058,0,0,6.84,1418.89,home,0
ORD100010,629,5,0.139,1,0.168,0.404,0.125,0.046,0,0,1.78,8622.43,footwear,0
ORD100011,475,6,0.324,2,0.344,0.347,0.288,0.006,1,1,5.36,409.22,home,0
ORD100012,624,7,0.785,1,0.224,0.443,0.195,0.209,0,0,11.86,1789.22,beauty,1
ORD100013,1359,8,0.406,0,0.555,0.117,0.351,0.108,0,0,17.21,537.24,footwear,0
ORD100014,414,10,0.481,0,0.475,0.049,0.079,0.187,0,0,6.29,1450.38,apparel,0
ORD100015,90,9,0.47,0,0.123,0.242,0.177,0.1,0,0,0.53,2357.79,apparel,0
ORD100016,527,12,0.135,1,0.323,0.231,0.369,0.307,0,0,0.62,522.54,footwear,0
ORD100017,197,6,0.168,1,0.254,0.283,0.283,0.11,0,0,5.08,819.6,footwear,1
ORD100018,4,8,0.832,0,0.208,0.033,0.149,0.124,0,0,3.58,1165.22,electronics,0
ORD100019,81,7,0.744,2,0.735,0.294,0.397,0.116,0,0,2.51,4441.29,footwear,1
ORD100020,263,4,0.049,0,0.253,0.096,0.261,0.0,0,0,1.64,1011.55,home,0
ORD100021,60,6,0.13,0,0.256,0.04,0.101,0.051,0,0,18.46,1054.25,electronics,0
ORD100022,195,7,0.328,1,0.517,0.355,0.239,0.137,0,0,8.46,563.44,apparel,0
ORD100023,573,7,0.316,2,0.243,0.425,0.463,0.216,1,0,26.15,528.66,electronics,1
ORD100024,618,10,0.535,0,0.535,0.73,0.133,0.032,0,0,0.62,2283.03,apparel,0
ORD100025,1604,7,0.325,0,0.516,0.671,0.149,0.014,0,0,4.58,1381.42,apparel,1
ORD100026,155,10,0.379,0,0.123,0.073,0.178,0.051,0,0,8.85,1423.07,apparel,0
ORD100027,572,5,0.326,0,0.297,0.506,0.364,0.234,0,0,7.79,1487.45,electronics,0
ORD100028,2,5,0.22,1,0.188,0.05,0.288,0.118,0,0,0.83,5627.92,home,0
ORD100029,614,9,0.311,0,0.727,0.127,0.287,0.045,0,0,5.44,1334.48,apparel,0
ORD100030,451,9,0.483,3,0.106,0.075,0.256,0.216,0,0,0.09,1927.58,home,0
ORD100031,422,7,0.514,0,0.486,0.404,0.407,0.132,0,0,5.62,3307.94,electronics,0
